City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Joigny,FR,47.9829,3.401,29.8,87,99,3.65,overcast clouds
1,Ushuaia,AR,-54.8,-68.3,46.06,61,40,24.16,scattered clouds
2,Castro,BR,-24.7911,-50.0119,65.26,96,69,11.05,broken clouds
3,Qaanaaq,GL,77.484,-69.3632,1.89,93,100,5.39,overcast clouds
4,Wamba,NG,8.9333,8.6,73.78,29,19,4.03,few clouds
5,Raudeberg,NO,61.9875,5.1352,26.87,73,100,8.25,light snow
6,Henties Bay,NA,-22.116,14.2845,61.65,93,99,1.97,overcast clouds
7,Yenagoa,NG,4.9247,6.2642,77.34,84,13,4.05,few clouds
8,Victoria,HK,22.2855,114.1577,55.26,92,100,15.01,overcast clouds
9,Bredasdorp,ZA,-34.5322,20.0403,67.66,86,42,1.34,scattered clouds
10,Salvador,SV,13.8333,-88.9167,80.64,55,96,5.01,overcast clouds
11,Ribeira Grande,PT,38.5167,-28.7,59.4,77,40,23.02,light rain
12,Baijiantan,CN,45.6333,85.1833,12.29,82,100,3.13,overcast clouds
13,Brigantine,US,39.4101,-74.3646,41.0,54,0,9.22,clear sky
14,Floro,NO,61.5996,5.0328,27.97,59,75,10.36,light snow
15,Kalmunai,LK,7.4167,81.8167,75.78,87,51,3.65,broken clouds
16,Dikson,RU,73.5069,80.5464,9.21,93,100,23.69,light snow
17,Cidreira,BR,-30.1811,-50.2056,69.82,57,0,12.1,clear sky
18,Torbay,CA,47.6666,-52.7314,41.29,90,100,28.77,light rain
19,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,88,75,16.11,broken clouds
20,Hobyo,SO,5.3505,48.5268,77.65,70,0,16.08,clear sky
21,Sinnamary,GF,5.3833,-52.95,77.43,87,100,8.86,overcast clouds
22,Vila Velha,BR,-20.3297,-40.2925,78.75,87,100,23.0,light rain
23,Lagoa,PT,39.05,-27.9833,58.42,74,81,32.1,light rain
24,Punta Arenas,CL,-53.15,-70.9167,53.71,35,20,40.29,few clouds
25,Clyde River,CA,70.4692,-68.5914,3.43,85,100,10.36,overcast clouds
26,Marrakesh,MA,31.6315,-8.0083,69.87,64,20,8.05,few clouds
27,Port Alfred,ZA,-33.5906,26.891,66.18,97,78,5.99,broken clouds
28,Porto Novo,BJ,6.4965,2.6036,82.22,80,43,7.14,scattered clouds
29,Codrington,AU,-38.2667,141.9667,51.71,74,100,18.01,overcast clouds
30,Kavaratti,IN,10.5669,72.642,80.89,76,92,14.63,overcast clouds
31,Cape Town,ZA,-33.9258,18.4232,70.09,81,20,6.91,few clouds
32,Touros,BR,-5.1989,-35.4608,79.09,75,13,12.97,few clouds
33,Luanda,AO,-8.8368,13.2343,78.8,78,40,4.61,scattered clouds
34,Jamestown,US,42.097,-79.2353,33.44,35,0,0.0,clear sky
35,Saint-Philippe,RE,-21.3585,55.7679,72.99,83,29,10.78,light rain
36,Berlevag,NO,70.8578,29.0864,28.2,93,100,2.3,light snow
37,Abu Dhabi,AE,24.4667,54.3667,71.71,63,0,2.3,clear sky
38,Quelimane,MZ,-17.8786,36.8883,78.75,88,75,5.01,light rain
39,Skibbereen,IE,51.55,-9.2667,40.1,83,100,23.58,overcast clouds
40,Utica,US,43.1009,-75.2327,26.73,82,21,5.86,few clouds
41,Hithadhoo,MV,-0.6,73.0833,80.08,76,100,9.55,overcast clouds
42,Busselton,AU,-33.65,115.3333,57.99,73,0,13.98,clear sky
43,Alta Floresta,BR,-9.8756,-56.0861,74.79,88,93,8.5,overcast clouds
44,Cayenne,GF,4.9333,-52.3333,80.64,83,0,6.91,clear sky
45,Chuy,UY,-33.6971,-53.4616,64.56,54,0,8.32,clear sky
46,Cabedelo,BR,-6.9811,-34.8339,81.27,75,15,13.09,few clouds
47,Paita,PE,-5.0892,-81.1144,70.25,78,100,9.84,overcast clouds
48,Storsteinnes,NO,69.2408,19.2344,19.38,78,100,3.67,overcast clouds
49,Otavi,NA,-19.65,17.3333,73.4,57,75,7.74,broken clouds
50,Bonavista,CA,48.6499,-53.1147,38.14,86,100,31.74,overcast clouds
51,Takoradi,GH,4.8845,-1.7554,79.63,84,21,7.36,few clouds
52,Dingle,PH,10.9995,122.6711,75.13,93,100,6.8,overcast clouds
53,Benghazi,LY,32.1167,20.0667,66.31,75,56,12.1,broken clouds
54,Olinda,BR,-8.0089,-34.8553,82.13,69,40,9.22,scattered clouds
55,Bougouni,ML,11.417,-7.479,74.82,16,62,5.75,broken clouds
56,Georgetown,MY,5.4112,100.3354,77.95,93,20,2.3,few clouds
57,Porosozero,RU,62.7191,32.727,20.1,92,100,12.44,overcast clouds
58,Contamana,PE,-7.3333,-75.0167,87.3,53,99,1.79,light rain
59,Adrar,MR,20.5022,-10.0711,76.8,31,0,9.42,clear sky
60,Mahibadhoo,MV,3.7833,72.9667,80.83,77,99,7.61,overcast clouds
61,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,91,100,21.39,heavy intensity rain
62,Sao Filipe,CV,14.8961,-24.4956,79.7,53,0,6.82,clear sky
63,Kondinskoye,RU,59.6481,67.41,-4.2,91,100,8.39,overcast clouds
64,Tasiilaq,GL,65.6145,-37.6368,21.36,62,2,6.91,clear sky
65,Namibe,AO,-15.1961,12.1522,68.59,74,65,4.52,broken clouds
66,East London,ZA,-33.0153,27.9116,72.75,90,79,1.45,broken clouds
67,Maldonado,UY,-34.6667,-54.9167,70.99,43,0,6.38,clear sky
68,Saint Anthony,US,45.0205,-93.218,35.53,84,100,21.85,light rain
69,Saint-Augustin,CA,51.226,-58.6502,36.0,81,100,29.84,overcast clouds
70,Kondagaon,IN,19.6,81.6667,64.24,66,0,1.63,clear sky
71,Lebu,CL,-37.6167,-73.65,62.2,81,0,16.31,clear sky
72,Port Blair,IN,11.6667,92.75,78.87,75,93,10.25,overcast clouds
73,Yining,CN,29.0361,114.5636,36.95,65,0,2.59,clear sky
74,Qarqin,AF,37.4185,66.0436,46.53,54,96,15.01,overcast clouds
75,Bubaque,GW,11.2833,-15.8333,80.98,72,2,11.36,clear sky
76,Saint George,US,37.1041,-113.5841,45.43,51,0,5.99,clear sky
77,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,80.73,66,100,4.21,overcast clouds
78,Jijiga,ET,9.35,42.8,60.4,64,0,2.98,clear sky
79,Margate,GB,51.3813,1.3862,36.7,72,100,3.0,overcast clouds
80,Pudozh,RU,61.8099,36.5345,22.14,90,100,7.9,overcast clouds
81,Holme,DK,56.1138,10.1725,33.37,93,100,15.3,overcast clouds
82,Mocuba,MZ,-16.8392,36.9856,73.04,93,99,1.59,overcast clouds
83,Caravelas,BR,-17.7125,-39.2481,77.07,85,88,13.09,overcast clouds
84,La Palma,US,33.8464,-118.0467,62.92,53,20,8.05,few clouds
85,Araouane,ML,18.9048,-3.5265,74.44,11,0,8.41,clear sky
86,Ust-Koksa,RU,50.2696,85.6108,3.36,97,100,1.74,overcast clouds
87,Mehamn,NO,71.0357,27.8492,26.51,86,100,1.14,light snow
88,Bereda,ES,43.2686,-7.5406,55.42,100,100,7.74,overcast clouds
89,Menongue,AO,-14.6585,17.691,63.97,96,100,2.19,light rain
90,Ponta Do Sol,PT,32.6667,-17.1,73.0,93,98,9.86,light rain
91,Gamba,GA,-2.65,10.0,76.93,86,91,0.96,light rain
92,Saldanha,ZA,-33.0117,17.9442,66.25,95,8,6.24,clear sky
93,Hermanus,ZA,-34.4187,19.2345,64.8,93,24,0.47,few clouds
94,Panaitolion,GR,38.5833,21.45,55.56,85,100,3.76,overcast clouds
95,Olafsvik,IS,64.8945,-23.7142,27.79,63,18,7.85,few clouds
96,Mar Del Plata,AR,-38.0023,-57.5575,80.62,29,0,23.02,clear sky
97,Ilulissat,GL,69.2167,-51.1,19.42,68,100,13.8,overcast clouds
98,Marsa Matruh,EG,31.3525,27.2453,61.0,77,0,3.44,clear sky
99,Bakchar,RU,57.0186,82.0711,-18.99,99,11,4.45,few clouds
100,Richards Bay,ZA,-28.783,32.0377,73.62,89,98,8.16,overcast clouds
101,Northam,GB,51.0333,-4.2167,33.39,79,100,15.7,light snow
102,Port Elizabeth,ZA,-33.918,25.5701,70.11,95,20,13.8,light rain
103,Sayyan,YE,15.1718,44.3244,48.51,65,0,3.98,clear sky
104,Marienburg,PL,54.0359,19.0266,27.9,92,54,8.21,broken clouds
105,Sarkand,KZ,45.41,79.9186,23.92,79,100,3.8,overcast clouds
106,Ponta Pora,BR,-22.5361,-55.7256,78.71,73,20,4.61,thunderstorm
107,Djibo,BF,14.1022,-1.6306,74.37,12,0,8.34,clear sky
108,Sebastian,US,35.1668,-94.2669,56.08,87,100,3.33,overcast clouds
109,Trofors,NO,65.5333,13.4063,-11.33,96,100,3.58,overcast clouds
110,Xai-Xai,MZ,-25.0519,33.6442,74.86,93,29,5.14,scattered clouds
111,Turukhansk,RU,65.8167,87.9833,-20.04,98,100,7.99,overcast clouds
112,Carora,VE,10.1755,-70.0827,80.24,64,97,6.62,overcast clouds
113,San Rafael,AR,-34.6177,-68.3301,93.43,8,0,16.06,clear sky
114,Manakara,MG,-22.1333,48.0167,73.27,84,100,3.13,light rain
115,Severnyy,RU,50.677,36.5532,32.04,93,100,20.13,light snow
116,Biskamzha,RU,53.4497,89.5272,-1.89,99,100,2.28,overcast clouds
117,Laguna,US,38.421,-121.4238,55.02,57,0,3.44,clear sky
118,Kochevo,RU,59.5994,54.3125,12.78,87,15,6.98,few clouds
119,Praia,CV,14.9215,-23.5087,77.54,61,0,12.66,clear sky
120,Leskolovo,RU,60.2634,30.4546,24.01,92,65,8.66,broken clouds
121,Klaksvik,FO,62.2266,-6.589,29.32,69,100,34.94,overcast clouds
122,Corrente,BR,-3.7367,-43.3394,83.03,54,72,5.68,broken clouds
123,Yelniki,RU,54.6207,43.876,20.48,74,1,17.98,clear sky
124,Saraland,US,30.8207,-88.0706,72.41,83,99,10.69,overcast clouds
125,Mahebourg,MU,-20.4081,57.7,77.29,73,40,12.66,scattered clouds
126,Kaltasy,RU,55.9693,54.8032,0.14,87,19,5.23,few clouds
127,Lieksa,FI,63.3167,30.0167,23.54,92,100,10.78,light snow
128,Los Andes,CL,-32.8337,-70.5983,88.02,21,0,8.59,clear sky
129,Kayes,ML,14.0,-11.0,79.34,9,18,7.49,few clouds
130,Marawi,PH,7.9986,124.2928,68.36,95,99,1.81,moderate rain
131,Pafos,CY,34.7667,32.4167,58.78,88,40,5.75,scattered clouds
132,Mazamari,PE,-11.3258,-74.5308,78.01,74,99,0.78,overcast clouds
133,Khandbari,NP,27.3747,87.2039,51.62,57,11,3.22,few clouds
134,Horta,PT,38.5333,-28.6333,58.64,79,40,23.02,light rain
135,Shahr-E Babak,IR,30.1165,55.1186,41.92,49,0,5.88,clear sky
136,Bandarbeyla,SO,9.4942,50.8122,76.32,63,0,15.79,clear sky
137,Moa,CU,20.6569,-74.9403,76.33,73,17,8.3,few clouds
138,Iqaluit,CA,63.7506,-68.5145,15.53,92,75,3.44,broken clouds
139,Malakal,SS,9.5334,31.6605,78.98,27,6,5.64,clear sky
140,Awassa,ET,7.05,38.4667,62.2,74,87,2.64,light rain
141,Coihaique,CL,-45.5752,-72.0662,57.81,58,75,10.36,broken clouds
142,Grand Gaube,MU,-20.0064,57.6608,77.4,72,2,8.99,clear sky
143,Havoysund,NO,70.9963,24.6622,28.63,80,100,11.14,overcast clouds
144,Husavik,IS,66.0449,-17.3389,12.83,78,79,11.27,broken clouds
145,Polignano A Mare,IT,40.9959,17.2159,57.33,86,100,8.97,overcast clouds
146,The Valley,AI,18.217,-63.0578,80.46,65,20,5.75,few clouds
147,Onega,RU,63.9061,38.1404,28.6,93,99,6.93,overcast clouds
148,Shostka,UA,51.863,33.4698,27.95,95,100,15.37,snow
149,Taoudenni,ML,22.6783,-3.9836,79.99,24,0,8.25,clear sky
150,Newport,GB,51.5877,-2.9984,33.64,81,100,13.98,overcast clouds
151,Sabya,SA,17.1495,42.6254,78.42,72,3,4.03,clear sky
152,Isa Khel,AF,36.6702,68.8443,43.09,63,97,1.63,overcast clouds
153,Souillac,MU,-20.5167,57.5167,77.38,73,40,12.66,scattered clouds
154,Karasjok,NO,69.4719,25.5112,14.63,95,100,10.31,light snow
155,Ambanja,MG,-13.6833,48.45,73.89,93,95,2.93,overcast clouds
156,Nagua,DO,19.3832,-69.8474,80.91,69,20,4.61,few clouds
157,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,78.71,85,95,2.73,moderate rain
158,Kruisfontein,ZA,-34.0033,24.7314,67.89,92,21,7.63,few clouds
159,Rudsar,IR,37.1376,50.288,49.98,73,94,3.47,overcast clouds
160,Bilma,NE,18.6853,12.9164,70.02,21,50,7.34,scattered clouds
161,Nanortalik,GL,60.1432,-45.2371,19.04,70,38,8.52,scattered clouds
162,Skjervoy,NO,70.0311,20.9714,10.4,61,100,14.54,overcast clouds
163,Uyemskiy,RU,64.4743,40.8524,23.05,93,100,8.95,overcast clouds
164,Oussouye,SN,12.485,-16.5469,77.09,65,0,5.06,clear sky
165,Orebro,SE,59.2741,15.2066,17.78,86,75,5.75,broken clouds
166,Sistranda,NO,63.7256,8.834,17.56,63,100,11.65,overcast clouds
167,Nyagan,RU,62.1406,65.3936,3.24,93,100,9.6,light snow
168,Santa Rosa,PH,14.3122,121.1114,80.58,85,51,7.92,broken clouds
169,Iralaya,HN,15.0,-83.2333,79.57,75,18,8.99,few clouds
170,Chimore,BO,-16.9833,-65.1333,82.08,67,97,0.96,overcast clouds
171,Carutapera,BR,-1.195,-46.02,79.11,76,10,7.92,clear sky
172,Maunabo,PR,18.0072,-65.8993,80.42,75,37,5.26,scattered clouds
173,Eyl,SO,7.9803,49.8164,74.68,68,1,14.56,clear sky
174,Salsomaggiore Terme,IT,44.8148,9.9796,34.12,93,100,1.48,overcast clouds
175,Kutum,SD,14.2,24.6667,61.57,15,100,8.01,overcast clouds
176,Aquiraz,BR,-3.9014,-38.3911,82.49,78,73,10.2,broken clouds
177,Pisco,PE,-13.7,-76.2167,75.25,73,0,11.5,clear sky
178,Villa Bruzual,VE,9.3328,-69.1208,83.39,56,100,3.36,overcast clouds
179,Pangoa,PE,-12.1167,-73.0,80.17,65,82,2.71,broken clouds
180,Safaga,EG,26.7292,33.9365,68.97,53,0,7.09,clear sky
181,Grand-Santi,GF,4.25,-54.3833,78.58,74,100,3.31,overcast clouds
182,Umm Lajj,SA,25.0213,37.2685,73.9,49,1,3.33,clear sky
183,Acandi,CO,8.5063,-77.2778,79.83,80,54,7.74,broken clouds
184,Malanje,AO,-9.5402,16.341,63.09,98,94,3.44,overcast clouds
185,Gaur,NP,26.7667,85.2667,58.5,70,6,0.89,clear sky
186,Budogoshch,RU,59.2816,32.4707,26.51,92,99,10.02,overcast clouds
187,Salalah,OM,17.0151,54.0924,70.23,38,0,7.54,clear sky
188,Polunochnoye,RU,60.8697,60.4153,-4.34,100,100,5.32,overcast clouds
189,Quatre Cocos,MU,-20.2078,57.7625,77.11,74,21,14.65,few clouds
190,Bambous Virieux,MU,-20.3428,57.7575,77.25,73,40,12.66,scattered clouds
191,Omboue,GA,-1.5746,9.2618,76.28,86,88,1.45,overcast clouds
192,Orlovka,RU,44.6914,44.1744,39.0,95,90,10.31,overcast clouds
193,Opelika,US,32.6454,-85.3783,58.78,82,75,1.99,broken clouds
194,Igrim,RU,63.1906,64.4162,4.15,94,100,10.69,light snow
195,Mahanoro,MG,-19.9,48.8,73.58,85,97,1.16,light rain
196,Muros,ES,42.7762,-9.0603,60.84,86,100,16.67,overcast clouds
197,Chipiona,ES,36.7366,-6.437,66.42,94,40,16.11,scattered clouds
198,Dollar,GB,56.1624,-3.6714,30.43,82,6,3.71,clear sky
199,La Asuncion,VE,11.0333,-63.8628,82.13,78,96,10.36,overcast clouds
200,Spittal,GB,51.8689,-4.9425,31.39,83,100,11.1,overcast clouds
201,Vestmannaeyjar,IS,63.4427,-20.2734,29.89,94,100,11.05,light snow
202,Riacho De Santana,BR,-13.6092,-42.9389,73.58,82,98,3.38,overcast clouds
203,Fontanka,UA,46.5626,30.8607,32.2,82,7,10.58,clear sky
204,Bertoua,CM,4.5833,13.6833,70.16,59,4,2.44,clear sky
205,Havelock,US,34.8791,-76.9013,50.0,69,75,5.75,broken clouds
206,Hamilton,US,39.1834,-84.5333,45.23,69,0,5.75,clear sky
207,Nantucket,US,41.2835,-70.0995,39.34,56,0,8.05,clear sky
208,Tessalit,ML,20.1986,1.0114,72.61,16,0,8.97,clear sky
209,Villa Maria,AR,-32.4075,-63.2402,91.29,11,0,7.0,clear sky
210,Oxelosund,SE,58.6706,17.1015,14.38,79,0,5.75,clear sky
211,Ostersund,SE,63.1792,14.6357,5.45,100,0,0.0,clear sky
212,Caucaia,BR,-3.7361,-38.6531,82.35,75,0,11.5,clear sky
213,Carbonia,IT,39.1672,8.5222,61.02,97,99,9.17,overcast clouds
214,Hetauda,NP,27.4284,85.0322,56.55,86,3,4.07,clear sky
215,Constitucion,CL,-35.3333,-72.4167,65.32,68,13,17.94,few clouds
216,Tombouctou,ML,20.0,-3.0,73.54,15,0,7.11,clear sky
217,Aswan,EG,24.0934,32.907,67.3,32,0,0.0,clear sky
218,Geraldton,AU,-28.7667,114.6,64.81,48,0,8.05,clear sky
219,Nalut,LY,30.3333,10.85,63.9,49,71,7.27,broken clouds
220,Mandera,KE,3.9366,41.867,82.42,26,1,8.77,clear sky
221,Seminole,US,28.7086,-81.2081,70.36,89,100,9.22,overcast clouds
222,Vardo,NO,70.3705,31.1107,30.18,93,100,27.63,snow
223,Disna,BY,55.568,28.1971,24.64,88,66,10.22,broken clouds
224,Alushta,UA,44.6667,34.4167,39.31,61,100,10.74,overcast clouds
225,Hun,LY,29.1268,15.9477,65.48,38,22,4.16,few clouds
226,Buchanan,LR,5.8808,-10.0467,78.78,83,8,6.2,light rain
227,Carnarvon,AU,-24.8667,113.6333,70.43,82,0,13.27,clear sky
228,Kargopol,RU,61.5071,38.9456,27.05,87,100,9.4,overcast clouds
229,Upernavik,GL,72.7868,-56.1549,21.27,90,100,20.67,light snow
230,Ibipeba,BR,-11.6408,-42.0111,76.1,61,84,4.61,broken clouds
231,Shelburne,CA,44.0787,-80.2041,27.39,75,7,3.71,clear sky
232,San Cristobal,VE,7.7669,-72.225,77.18,70,57,3.31,broken clouds
233,Roald,NO,62.5833,6.1333,28.76,68,75,16.11,snow
234,Channel-Port Aux Basques,CA,47.5702,-59.1367,38.3,95,100,46.68,overcast clouds
235,Kedrovyy,RU,56.1667,91.8167,-16.19,100,87,1.14,overcast clouds
236,Beloha,MG,-25.1667,45.05,72.63,82,92,6.64,overcast clouds
237,Funtua,NG,11.5233,7.3081,64.67,19,7,8.81,clear sky
238,Morondava,MG,-20.2833,44.2833,74.75,87,100,11.07,light rain
239,Bousso,TD,10.4795,16.7117,74.97,17,29,6.53,scattered clouds
240,Novyy Urengoy,RU,66.0833,76.6333,-10.25,90,99,10.22,overcast clouds
241,Westport,US,41.1415,-73.3579,39.24,50,0,4.0,clear sky
